Cynarctus, Cynarctus voorhiesi, 10.3, 13.6
Urocyon, Urocyon, 0.0117, 4.9
Mesocyon, Mesocyon coryphaeus, 20.43, 30.8
Vulpes, Vulpes mathisoni, 3.6, 5.333
Dusicyon, Dusicyon avus, 0.0117, 0.781
Carpocyon, Carpocyon, 13.6, 5.333
Cynotherium, Cynotherium, 0.0117, 3.6
Cynarctoides, Cynarctoides whistleri, 15.97, 20.43
Osbornodon, Osbornodon renjiei, 30.8, 33.9
Cynarctus, Cynarctus saxatilis, 13.6, 15.97
Canis, Canis apolloniensis, 0.781, 2.588
Leptocyon, Leptocyon tejonensis, 10.3, 13.6
Canis, Canis aureus, 0, 3.6
Urocyon, Urocyon citrinus, 1.8, 4.9
Leptocyon, Leptocyon mollis, 20.43, 30.8
Paracynarctus, Paracynarctus kelloggi, 13.6, 5.333
Urocyon, Urocyon galushai, 1.8, 4.9
Paracynarctus, Paracynarctus sinclairi, 13.6, 20.43
Aelurodon, Aelurodon wheelerianus, 15.97, 20.43
Speothos, Speothos, 0.0117, 2.588
Phlaocyon, Phlaocyon leucosteus, 15.97, 24.8
Neovulpavus, Neovulpavus washakius, 40.4, 46.2
Canis, Canis adustus, 0, 3.6
Hesperocyoninae, Hesperocyoninae, 20.43, 30.8
Xenocyon, Xenocyon texanus, 0.3, 1.8
Canis, Canis rufus, 0.0117, 4.9
Leptocyon, Leptocyon gregorii, 20.43, 24.8
Borophagus, Borophagus orc, 10.3, 5.333
Cynarctus, Cynarctus, 10.3, 5.333
Cynarctus, Cynarctus marylandica, 13.82, 20.44
Metatomarctus, Metatomarctus, 23.03, 5.333
