Otocyon, Otocyon, 0.0117, 3.6
Otocyon, Otocyon megalotis, 0, 2.588
Oxetocyon, Oxetocyon, 30.8, 33.3
Oxetocyon, Oxetocyon cuspidatus, 30.8, 33.3
Paracynarctus, Paracynarctus kelloggi, 13.6, 5.333
Paracynarctus, Paracynarctus sinclairi, 13.6, 20.43
Paraenhydrocyon, Paraenhydrocyon josephi, 20.43, 30.8
Paraenhydrocyon, Paraenhydrocyon robustus, 20.43, 24.8
Paraenhydrocyon, Paraenhydrocyon wallovianus, 20.43, 30.8
Paratomarctus, Paratomarctus euthos, 10.3, 5.333
Paratomarctus, Paratomarctus temerarius, 13.6, 5.333
Philotrox, Philotrox condoni, 20.43, 30.8
Phlaocyon, Phlaocyon, 15.97, 30.8
Phlaocyon, Phlaocyon achoros, 20.43, 24.8
Phlaocyon, Phlaocyon annectens, 20.43, 24.8
Phlaocyon, Phlaocyon latidens, 20.43, 33.3
Phlaocyon, Phlaocyon leucosteus, 15.97, 24.8
Phlaocyon, Phlaocyon mariae, 15.97, 20.43
Phlaocyon, Phlaocyon marslandensis, 15.97, 20.43
Phlaocyon, Phlaocyon minor, 15.97, 30.8
Phlaocyon, Phlaocyon multicuspus, 20.43, 24.8
Phlaocyon, Phlaocyon taylori, 20.43, 30.8
Phlaocyon, Phlaocyon yatkolai, 15.97, 20.43
Protemnocyon, Protemnocyon inflatus, 33.3, 33.9
Protepicyon, Protepicyon raki, 13.6, 15.97
Protocyon, Protocyon, 0.0117, 2.588
Protocyon, Protocyon orcesi, 0.0117, 0.781
Protocyon, Protocyon tarijensis, 0.781, 2.588
Protocyon, Protocyon troglodytes, 0, 2.588
Protomarctus, Protomarctus optatus, 13.6, 5.333
Psalidocyon, Psalidocyon marianae, 13.6, 20.43
Pseudalopex, Pseudalopex gymnocercus, 0, 2.588
Rhizocyon, Rhizocyon oregonensis, 20.43, 30.8
Speothos, Speothos, 0.0117, 2.588
Speothos, Speothos venaticus, 0, 0.0117
Sunkahetanka, Sunkahetanka geringensis, 20.43, 30.8
Tephrocyon, Tephrocyon rurestris, 13.6, 5.333
Theriodictis, Theriodictis, 0.0117, 2.588
Theriodictis, Theriodictis floridanus, 1.8, 4.9
Tomarctus, Tomarctus, 10.3, 5.333
Tomarctus, Tomarctus brevirostris, 13.6, 5.333
Tomarctus, Tomarctus hippophaga, 13.6, 5.333
Urocyon, Urocyon, 0.0117, 4.9
Urocyon, Urocyon cinereoargenteus, 0, 4.9
Urocyon, Urocyon citrinus, 1.8, 4.9
Urocyon, Urocyon galushai, 1.8, 4.9
Urocyon, Urocyon minicephalus, 0.3, 1.8
Urocyon, Urocyon progressus, 1.8, 4.9
Urocyon, Urocyon webbi, 10.3, 4.9
Vulpes, Vulpes, 0, 8.7
Vulpes, Vulpes cascadensis, 0.0117, 0.126
Vulpes, Vulpes chama, 0, 2.588
Vulpes, Vulpes kernensis, 10.3, 13.6
Vulpes, Vulpes mathisoni, 3.6, 5.333
Vulpes, Vulpes stenognathus, 0.3, 4.9
Vulpes, Vulpes velox, 0, 4.9
Vulpes, Vulpes vulpes, 0, 3.2
Vulpes, Vulpes vulpes macroura, 0.0117, 0.126
Vulpini, Vulpini, 0.0117, 0.126
Xenocyon, Xenocyon, 0.0117, 2.588
Xenocyon, Xenocyon lycaonoides, 0.0117, 2.588
Xenocyon, Xenocyon texanus, 0.3, 1.8
